| hackers | H262 | (1, 1) |
| steal | S340 | (1, 1) |
| passwords | P263 | (1, 4) |
| emails | E542 | (1, 1), (10, 1), (57, 2) |
| hookup | H210 | (1, 2) |
| websites | W123 | (1, 4), (10, 1), (15, 1) |
| two | T000 | (1, 4), (4, 2), (6, 2), (11, 5), (14, 1), (16, 2), (19, 2), (20, 1), (21, 2), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (33, 6), (35, 2), (36, 1), (37, 1), (41, 1), (43, 1), (45, 10), (49, 1), (56, 1), (57, 2), (60, 1), (61, 4), (64, 14), (66, 2) |
| gay | G000 | (1, 1) |
| breached | B623 | (1, 1) |
| sensitive | S523 | (1, 2) |
| personal | P625 | (1, 1), (27, 1), (47, 1), (48, 2), (49, 2), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 2), (57, 1), (58, 1) |
| user | U260 | (1, 1), (6, 2), (10, 2), (17, 2), (38, 2), (46, 1) |
| data | D300 | (1, 3), (6, 1), (10, 2), (16, 1), (23, 4), (27, 1), (37, 2), (38, 9), (47, 2), (48, 2), (49, 2), (51, 3), (52, 2), (53, 2), (54, 2), (55, 2), (56, 2), (57, 10), (58, 2), (61, 1), (64, 2), (66, 6) |
| stolen | S345 | (1, 1) |
| sold | S430 | (1, 2), (4, 1), (6, 1), (16, 1), (64, 1) |
| online | O545 | (1, 1), (2, 2), (8, 3), (11, 1), (17, 2), (23, 1), (28, 2), (35, 1), (38, 1), (44, 2), (47, 1), (48, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 4), (64, 1) |
| new | N000 | (1, 4), (2, 11), (3, 3), (4, 11), (5, 3), (6, 4), (7, 4), (8, 6), (9, 3), (10, 3), (11, 9), (12, 3), (13, 3), (14, 6), (15, 3), (16, 9), (17, 8), (18, 3), (19, 8), (20, 4), (21, 9), (22, 14), (23, 4), (24, 6), (25, 5), (26, 15), (27, 3), (28, 3), (29, 10), (30, 4), (31, 9), (32, 8), (33, 5), (34, 13), (35, 8), (36, 5), (37, 3), (38, 7), (39, 3), (40, 3), (41, 5), (42, 4), (43, 8), (44, 11), (45, 4), (46, 6), (47, 1), (49, 5), (51, 1), (53, 1), (54, 1), (56, 5), (57, 3), (58, 1), (59, 3), (60, 2), (61, 1), (64, 51), (65, 1), (67, 1) |
| reports | R163 | (1, 1), (16, 1), (19, 1), (57, 1), (64, 4) |
| claimed | C453 | (1, 2), (37, 1), (64, 1) |
| databases | D312 | (1, 1), (57, 1) |
| dark | D620 | (1, 1), (20, 1), (31, 1), (41, 5), (42, 1), (60, 2), (64, 2) |
| web | W100 | (1, 1), (2, 1), (8, 1), (15, 2), (17, 1), (19, 1), (20, 1), (23, 1), (29, 1), (37, 1), (44, 1), (46, 3), (57, 2) |
| forums | F652 | (1, 1), (8, 1) |
| taken | T250 | (1, 1), (7, 1), (8, 1), (14, 1), (22, 1), (36, 1), (42, 2), (57, 2), (61, 2), (64, 9), (66, 1) |
| platforms | P431 | (1, 2), (14, 1), (22, 2), (26, 1), (38, 2) |
| called | C430 | (1, 1), (2, 1), (20, 1), (21, 1), (22, 1), (24, 1), (37, 1), (41, 1), (44, 1), (45, 2), (46, 1), (51, 1), (54, 2), (57, 2), (64, 6) |
| truckersucker | T626 | (1, 2) |
| cityjerks | C326 | (1, 2) |
| contain | C535 | (1, 1), (33, 1), (64, 2) |
| enough | E520 | (1, 1), (2, 1), (11, 1), (19, 1), (20, 1), (23, 1), (24, 1), (26, 1), (28, 1), (32, 1), (33, 2), (43, 1), (44, 1), (45, 2), (46, 2), (48, 1), (57, 3), (60, 1), (63, 1), (64, 1), (67, 1) |
| personally | P625 | (1, 1), (49, 1) |
| identifiable | I353 | (1, 1) |
| information | I516 | (1, 2), (2, 4), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 3), (11, 3), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 2), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 2), (30, 1), (31, 1), (32, 1), (33, 2), (34, 1), (35, 1), (36, 1), (37, 1), (38, 2), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 4), (45, 1), (46, 2), (47, 6), (48, 11), (49, 4), (51, 6), (52, 6), (53, 6), (54, 6), (55, 7), (56, 10), (57, 8), (58, 4) |
| engage | E520 | (1, 1), (49, 1) |
| identity | I353 | (1, 2), (14, 1), (17, 1), (56, 1) |
| theft | T130 | (1, 1) |
| opens | O152 | (1, 3), (2, 8), (4, 8), (6, 4), (7, 2), (8, 5), (10, 2), (11, 5), (14, 5), (15, 2), (16, 4), (17, 3), (19, 7), (20, 4), (21, 8), (22, 8), (23, 3), (24, 5), (25, 4), (26, 5), (27, 3), (28, 2), (29, 4), (30, 2), (31, 9), (32, 9), (33, 3), (34, 2), (35, 3), (36, 3), (37, 2), (38, 7), (41, 4), (42, 2), (43, 6), (44, 8), (45, 3), (46, 4), (47, 1), (48, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (64, 24) |
| tab | T100 | (1, 3), (2, 8), (4, 8), (6, 4), (7, 2), (8, 5), (10, 2), (11, 5), (14, 5), (15, 3), (16, 4), (17, 3), (19, 8), (20, 4), (21, 8), (22, 8), (23, 3), (24, 5), (25, 4), (26, 5), (27, 3), (28, 2), (29, 4), (30, 2), (31, 9), (32, 8), (33, 3), (34, 2), (35, 3), (36, 3), (37, 2), (38, 7), (41, 4), (42, 2), (43, 6), (44, 8), (45, 3), (46, 4), (64, 24) |
| usernames | U265 | (1, 1) |
| email | E540 | (1, 2), (2, 4), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 2), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 2), (41, 1), (42, 1), (43, 1), (44, 4), (45, 1), (46, 1), (57, 8), (64, 3) |
| addresses | A362 | (1, 3), (57, 4) |
| profile | P614 | (1, 1), (47, 1), (48, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1) |
| pictures | P236 | (1, 1), (8, 2), (11, 1), (20, 1), (21, 1), (33, 1), (38, 1), (61, 1) |
| sexual | S240 | (1, 2), (15, 1) |
| preferences | P616 | (1, 2), (47, 1), (48, 1), (49, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 2), (57, 1), (58, 1) |
| birth | B630 | (1, 1), (11, 1), (38, 1) |
| dates | D320 | (1, 1) |
| postal | P234 | (1, 1) |
| ip | I100 | (1, 1), (38, 1) |
| bios | B200 | (1, 1) |
| encrypted | E526 | (1, 1) |
